id,created_at,favorite_count,retweet_count
892420643555336193,Tue Aug 01 16:23:56 +0000 2017,39467,8853
892177421306343426,Tue Aug 01 00:17:27 +0000 2017,33819,6514
891815181378084864,Mon Jul 31 00:18:03 +0000 2017,25461,4328
891689557279858688,Sun Jul 30 15:58:51 +0000 2017,42908,8964
891327558926688256,Sat Jul 29 16:00:24 +0000 2017,41048,9774
891087950875897856,Sat Jul 29 00:08:17 +0000 2017,20562,3261
890971913173991426,Fri Jul 28 16:27:12 +0000 2017,12041,2158
890729181411237888,Fri Jul 28 00:22:40 +0000 2017,56848,16716
890609185150312448,Thu Jul 27 16:25:51 +0000 2017,28226,4429
890240255349198849,Wed Jul 26 15:59:51 +0000 2017,32467,7711
890006608113172480,Wed Jul 26 00:31:25 +0000 2017,31166,7624
889880896479866881,Tue Jul 25 16:11:53 +0000 2017,28268,5156
889665388333682689,Tue Jul 25 01:55:32 +0000 2017,38818,8538
889638837579907072,Tue Jul 25 00:10:02 +0000 2017,27672,4735
889531135344209921,Mon Jul 24 17:02:04 +0000 2017,15359,2321
889278841981685760,Mon Jul 24 00:19:32 +0000 2017,25652,5637
888917238123831296,Sun Jul 23 00:22:39 +0000 2017,29611,4709
888804989199671297,Sat Jul 22 16:56:37 +0000 2017,26080,4559
888554962724278272,Sat Jul 22 00:23:06 +0000 2017,20290,3732
888078434458587136,Thu Jul 20 16:49:33 +0000 2017,22201,3653
887705289381826560,Wed Jul 19 16:06:48 +0000 2017,30779,5609
887517139158093824,Wed Jul 19 03:39:09 +0000 2017,46959,12082
887473957103951883,Wed Jul 19 00:47:34 +0000 2017,69871,18781
887343217045368832,Tue Jul 18 16:08:03 +0000 2017,34222,10737
887101392804085760,Tue Jul 18 00:07:08 +0000 2017,31061,6167
886983233522544640,Mon Jul 17 16:17:36 +0000 2017,35859,8084
886736880519319552,Sun Jul 16 23:58:41 +0000 2017,12306,3443
886680336477933568,Sun Jul 16 20:14:00 +0000 2017,22798,4610
886366144734445568,Sat Jul 15 23:25:31 +0000 2017,21524,3316
886267009285017600,Sat Jul 15 16:51:35 +0000 2017,117,4
886258384151887873,Sat Jul 15 16:17:19 +0000 2017,28469,6523
886054160059072513,Sat Jul 15 02:45:48 +0000 2017,0,108
885984800019947520,Fri Jul 14 22:10:11 +0000 2017,33382,7097
885528943205470208,Thu Jul 13 15:58:47 +0000 2017,36689,6683
885518971528720385,Thu Jul 13 15:19:09 +0000 2017,20788,3899
885311592912609280,Thu Jul 13 01:35:06 +0000 2017,0,19297
885167619883638784,Wed Jul 12 16:03:00 +0000 2017,22367,4556
884925521741709313,Wed Jul 12 00:01:00 +0000 2017,68152,16439
884876753390489601,Tue Jul 11 20:47:12 +0000 2017,28514,6096
884562892145688576,Tue Jul 11 00:00:02 +0000 2017,24765,5100
884441805382717440,Mon Jul 10 15:58:53 +0000 2017,27478,5856
884247878851493888,Mon Jul 10 03:08:17 +0000 2017,74423,21298
884162670584377345,Sun Jul 09 21:29:42 +0000 2017,20771,3128
883838122936631299,Sun Jul 09 00:00:04 +0000 2017,22349,3586
883482846933004288,Sat Jul 08 00:28:19 +0000 2017,46860,10407
883360690899218434,Fri Jul 07 16:22:55 +0000 2017,22986,3825
